Code,Name,East,North
2720,2720,9432352.13328000000,4248591.51370000000
2721,2721,9383141.39844000000,4419756.14864000000
2722,2722,9409727.49019000000,4291963.17189000000
2725,2725,9382360.28992000000,4367388.20003000000
2726,2726,9431778.86089000000,4327194.49597000000
2727,2727,9415949.84021000000,4308216.06858000000
2729,2729,9388454.99369000000,4272764.07675000000
2730,2730,9403670.30547000000,4244220.56595000000
2732,2732,9045547.91683000000,4256882.46791000000
2733,2733,9017965.21585000000,4302981.63538000000
2735,2735,8995882.10476000000,4273387.50091000000
2736,2736,8970683.83218000000,4302335.44186000000
2737,2737,8921841.05597000000,4370746.26005000000
2738,2738,8861425.67744000000,4382803.40949000000
2739,2739,8856604.34520000000,4389755.99305000000
2745,2745,9640039.19409000000,4426343.03310000000
2747,2747,9648005.13792000000,4440746.85131000000
2748,2748,9645838.99463000000,4432247.17315000000
2749,2749,9642342.37981000000,4444976.04196000000
2750,2750,9641264.50944000000,4438491.34958000000
2752,2752,9632475.89935000000,4419609.85502000000
2753,2753,9644300.46477000000,4454043.15998000000
2754,2754,9646107.40511000000,4460327.05773000000
2756,2756,9648060.86713000000,4487196.45937000000
2757,2757,9644072.38739000000,4460965.18136000000
2758,2758,9625598.14126000000,4458827.71800000000
2759,2759,9651527.78738000000,4432339.22864000000
2760,2760,9650611.32714000000,4437876.23850000000
2761,2761,9656781.58614000000,4439044.44427000000
2762,2762,9659660.28977000000,4443486.12937000000
2763,2763,9660971.50217000000,4440583.82380000000
2765,2765,9658333.71349000000,4449306.60142000000
2766,2766,9657705.72516000000,4432589.15339000000
2767,2767,9659129.12338000000,4436613.71441000000
2768,2768,9664656.71838000000,4440458.56762000000
2769,2769,9662762.39621000000,4443032.58567000000
2770,2770,9653754.68943000000,4437820.38700000000
2773,2773,9636455.79669000000,4437312.81636000000
2774,2774,9635718.26304000000,4440954.25866000000
2775,2775,9672920.00002000000,4489909.43806000000
2776,2776,9629642.46474000000,4446434.68232000000
2777,2777,9634792.54102000000,4445563.64192000000
2778,2778,9624113.11694000000,4441855.12277000000
2779,2779,9620498.08371000000,4441486.59484000000
2780,2780,9607157.59863000000,4445199.34364000000
2782,2782,9613626.96075000000,4442894.82389000000
2783,2783,9618696.15419000000,4442839.08607000000
2784,2784,9617120.13492000000,4441950.47821000000
2785,2785,9601003.29892000000,4445296.33305000000
2786,2786,9602606.76809000000,4463565.62010000000
2787,2787,9585409.18972000000,4419400.12713000000
2791,2791,9490426.40606000000,4464606.45789000000
2792,2792,9488606.29648000000,4449217.46372000000
2793,2793,9468133.78425000000,4440840.23406000000
2794,2794,9446411.47481000000,4431331.85368000000
2795,2795,9537252.29442000000,4467822.86188000000
2797,2797,9489458.72321000000,4451476.05317000000
2798,2798,9497141.13561000000,4477616.83094000000
2799,2799,9509398.46258000000,4454786.60519000000
2800,2800,9495374.42556000000,4497537.91246000000
2803,2803,9439755.29189000000,4402140.76376000000
2804,2804,9453697.89548000000,4465912.12241000000
2805,2805,9433670.55731000000,4456181.40610000000
2806,2806,9423895.44670000000,4484879.21331000000
2807,2807,9444077.14382000000,4411497.55259000000
2808,2808,9484988.72782000000,4429062.03090000000
2809,2809,9430228.75764000000,4419271.93745000000
2810,2810,9393999.42887000000,4434627.53696000000
2820,2820,9488240.44248000000,4572003.44126000000
2821,2821,9407495.39711000000,4609656.49471000000
2823,2823,9388019.83268000000,4637800.80488000000
2824,2824,9363446.64827000000,4725931.08344000000
2825,2825,9292748.83858000000,4661613.89638000000
2827,2827,9454074.49932000000,4673130.22816000000
2828,2828,9429971.11521000000,4719395.66220000000
2829,2829,9435669.79900000000,4770565.20145000000
2830,2830,9454362.01097000000,4603942.00476000000
2832,2832,9402573.46390000000,4862745.43347000000
2833,2833,9452998.79986000000,4920286.69281000000
2834,2834,9398942.48194000000,4939898.56037000000
2835,2835,9133678.54759000000,4684163.19918000000
2836,2836,8973727.59295000000,4727980.78095000000
2839,2839,9283461.50650000000,4872743.73525000000
2840,2840,9142127.32976000000,4868328.35226000000
2842,2842,9503114.33904000000,4648074.29444000000
2843,2843,9561390.29788000000,4658474.89317000000
2844,2844,9525296.19898000000,4632666.29674000000
2845,2845,9581222.60305000000,4475017.36092000000
2846,2846,9575256.99120000000,4502996.09825000000
2847,2847,9576954.53680000000,4484498.11778000000
2848,2848,9571954.50674000000,4535481.54432000000
2849,2849,9603857.14840000000,4529351.96129000000
